postal_code,latitude,longitude
1000,50.84457585,4.3515499
1020,50.8862038,4.3508201
1030,50.8618456,4.3827541199999995
1040,50.8331242,4.388949
1050,50.8235717,4.3766927
1060,50.8301436,4.340916050000001
1070,50.8354183,4.3044370999999995
1080,50.8569755,4.3166514
1081,50.862645549999996,4.31649655
1082,50.865341,4.295748
1083,50.872632499999995,4.309632349999999
1090,50.8808582,4.3238064
1120,50.8934271,4.38225
1130,50.895148,4.418088
1140,50.8659174,4.409794
1150,50.834608,4.43569
1160,50.8179629,4.42671641
1170,50.800919,4.414715
1180,50.8,4.3340608
1190,50.8135081,4.3204305
1200,50.845658900000004,4.434419800000001
1210,50.8526,4.370616
1300,50.7158951,4.6128257
1301,50.7113795,4.5871684
1310,50.7309955,4.4856707
1315,50.69188,4.7966
1320,50.772515,4.767726
1325,50.67687,4.71943
1330,50.7109736,4.5306325
1331,50.73015,4.54441
1332,50.7211,4.49388
1340,50.665465,4.5669046
1341,50.660369,4.5204882
1342,50.683433300000004,4.571335
1348,50.668081,4.6118324
1350,50.70141,4.98877555
1357,50.7556459,4.986432
1360,50.6401663,4.77603
1367,50.65,4.8833333
1370,50.7236978,4.864936
1380,50.68736,4.48135
1390,50.7385816,4.6972809
1400,50.5886574,4.3308649
1401,50.61341,4.35387
1410,50.71469,4.3991
1420,50.6969022,4.3538379
1421,50.665001,4.3491437
1428,50.6430871,4.3653635
1430,50.665625,4.132162
1435,50.63652,4.6154602
1440,50.6802986,4.2689347
1450,50.6,4.6333333
1457,50.632777,4.7001909
1460,50.6326887,4.2632352
1470,50.6108278,4.4503759
1472,50.6082918,4.4405969
1474,50.6174905,4.452274
1476,50.5829629,4.4113773
1480,50.6868,4.207180135
1490,50.6422504,4.5680813
1495,50.5483384,4.5351225
1500,50.73419,4.23711
1501,50.7427062,4.2619999
1502,50.7151424,4.2200436
1540,50.7233164,4.0536565
1541,50.7070524,3.9899741
1547,50.7168215,3.9407323
1560,50.7674863,4.4740458
1570,50.7529396,3.9709758
1600,50.78714,4.2693350500000005
1601,50.787291350000004,4.29377675
1602,50.8053622,4.23072905
1620,50.7833333,4.3166667
1630,50.7666667,4.3333333
1640,50.74594,4.35753
1650,50.7647275,4.3120069
1651,50.7646492,4.27714235
1652,50.74419805,4.3299767
1653,50.7273248,4.3016209
1654,50.7428061,4.2727786
1670,50.7376866,4.13620105
1700,50.8464512,4.2620632
1701,50.834084399999995,4.22959
1702,50.8726681,4.2650313
1703,50.83694525,4.1949591999999996
1730,50.91069485,4.19856085
1731,50.88498535,4.27376125
1740,50.8698353,4.1808317
1742,50.873629449999996,4.134270900000001
